非洲	Afriko
馬拉地帝國	Maratha Imperio
伊蘭斯基	Ilanskij
洱海	Lago Er
伊莎貝拉島 (加拉帕戈斯群島)	Insulo Isabela
三王冠	Tri Kronoj (ludo)
沙贾汗	Ŝaho Jahano
塞勒姆	Salem
巨獺	Brazila lutro
西姆拉	Ŝimla
杜拜地鐵	Metroo de Dubajo
教科書	Lernolibro
我们 (小说)	Ni (romano)
薩凡納	Savannah
加泰隆尼亚铁路	FGC
奥地利联邦铁路	Österreichische Bundesbahnen
挪威国家铁路	Norges Statsbaner
瑞士聯邦鐵路	Svisaj Federaciaj Fervojoj
匈牙利大平原	Granda Hungara Ebenaĵo
苯二氮平類藥物	Benzodiazepinoj
真主的九十九個尊名	La Nomoj de Dio en Islamo
萨珊王朝	Sasanidoj
青年土耳其党人	Junaj Turkoj
草蜢	Lokusto
西班牙國家鐵路	RENFE
阴极射线管	Bildotubo
阿里烏教派	Arianismo
对于穆罕默德的批评	Kritiko de Mohamedo
蝗蟲	Saltulo
人類演化	Homa deveno
馬其頓王國	Antikva Makedonio
科贾埃利省	Provinco Kocaeli
霍亨索伦王朝	Hohencolernoj
土耳其人	Turkoj
拉特朗圣若望大殿	Baziliko Sankta Johano de Laterano
荷鲁斯	Horuso
豪达	Gouda
阿尔弗雷德·布伦德尔	Alfred Brendel
有頭類	Kraniulo
赫尔曼·布洛赫	Hermann Broch
基辅大学	Kijiva Universitato
马西米连诺一世	Maksimiliano (Meksiko)
海因里希·哈勒	Heinrich Harrer
娜塔莎·坎普希	Natascha Kampusch
維若妮卡·蕾克	Veronica Lake
路德維希·馮·米塞斯	Ludwig von Mises
爱德华·汉斯力克	Eduard Hanslick
卡尔·塞茨	Karl Seitz
威廉·米克拉斯	Wilhelm Miklas
卡尔·拉狄克	Karl Radek
尼高·卡蘭積卡	Niko Kranjčar
尼古拉斯·雷瑙	Nikolaus Lenau
克里斯蒂安·多普勒	Christian Doppler
奥托·瓦格纳	Otto Wagner
路德维希·玻尔兹曼	Ludwig Boltzmann
卡尔·兰德施泰纳	Karl Landsteiner
威廉·赖希	Wilhelm Reich
马丁·布伯	Martin Buber
迈克尔·海尼施	Michael Hainisch
尼古劳斯·约瑟夫·冯·雅坎	Nikolaus Joseph von Jacquin
北极群岛	Kanada arkta insularo
神劇	Oratorio
世俗化	Sekularigo
乔瓦尼·卡博托	Giovanni Caboto
紹埃	Saue
印第安戰斧	Tomahoko (hakilo)
暴風雨 (莎士比亞)	La Ventego
大藍洞	Granda Blua Truo
狛江市	Komae
革律翁	Geriono
聖經譯本	Versioj de la Biblio
挪威國徽	Blazono de Norvegio
对话框	Dialogujo
拉斯洛三世	Ladislao la 3-a (Hungario)
蓋薩二世	Géza la 2-a (Hungario)
伊什特萬四世	Stefano la 4-a (Hungario)
伊姆雷	Emeriko (Hungario)
貝拉三世	Béla la 3-a (Hungario)
亞歷山大·瓦爾杰洛維奇·利特維年科	Aleksandr Litvinenko
伊什特萬三世	Stefano la 3-a (Hungario)
希土战争 (1919年-1922年)	Greka-turka milito (1919-1922)
手抄本	Manuskripto
拉丁語短語列表	Listo de latinaj eldiroj
欣諾達三世	Ŝenudo la 3-a
安東·格里戈里耶維奇·魯賓斯坦	Anton Grigorjeviĉ Rubinŝtejn
条顿堡森林战役	Batalo de Varus
大湖地区	Afrikaj Grandaj Lagoj
古罗马兵营	Castrum
城塞	Citadelo
護城河	Fosaĵo
蛇籠	Gabio
屯駐地	Garnizono
波兰球	Pollandpilko
奧托·斯科爾茲內	Otto Skorzeny
布利尼莱塞克	Bligny-le-Sec
埃尔文·舒尔霍夫	Erwin Schulhoff
圣桑拉拜埃 (科多尔省)	Saint-Seine-l'Abbaye
比利时法语社群	Franca Komunumo de Belgio
比利時德語社群	Germanlingva Komunumo de Belgio
阿巴迪亚圣萨尔瓦托雷	Abbadia San Salvatore
阿夏诺	Asciano
博恩孔文托	Buonconvento
地堡	Bunkro
卡索莱德尔萨	Casole d'Elsa
卡斯泰利纳伊恩基亚恩蒂	Castellina in Chianti
卡斯德尔诺沃贝拉登卡	Castelnuovo Berardenga
卡斯蒂廖内多尔恰	Castiglione d'Orcia
切托纳	Cetona
城堡主樓	Loĝejturo
基安奇安诺泰尔梅	Chianciano Terme
基乌斯迪诺	Chiusdino
丘西	Chiusi
埃尔萨谷口村	Colle di Val d'Elsa
加伊奥莱伊恩基亚恩蒂	Gaiole in Chianti
蒙达奇诺	Montalcino
蒙特普齐亚诺	Montepulciano
蒙特里久尼	Monteriggioni
蒙泰罗尼达尔比亚	Monteroni d'Arbia
蒙蒂恰诺	Monticiano
穆尔洛	Murlo
皮亚恩卡斯塔尼亚伊奥	Piancastagnaio
皮恩扎	Pienza
波吉邦西	Poggibonsi
拉达伊恩基亚恩蒂	Radda in Chianti
拉迪科法尼	Radicofani
拉迪孔多利	Radicondoli
丕平二世	Pepino el Herstal
拉波拉诺泰尔梅	Rapolano Terme
圣卡夏诺德伊巴尼	San Casciano dei Bagni
斯特凡·赫尔	Stefan Hell
圣吉米尼亚诺	San Gimignano
凸窗	Orielo
圣焦万尼达索	San Giovanni d'Asso
圣奎里科多尔恰	San Quirico d'Orcia
萨尔泰亚诺	Sarteano
锡纳伦加	Sinalunga
索维奇勒	Sovicille
托里塔迪谢纳	Torrita di Siena
特雷宽达	Trequanda
Category:要塞	Kategorio:Fortikaĵoj
回到未来	Back to the Future
回到未來系列	Back to the Future (fikcia universo)
秀麗隱桿線蟲	Caenorhabditis elegans
散兵坑	Tranĉeo
水星領航員	ARIA
城 (日本)	Japana kastelo
博涯监狱	Fortikaĵo Bojardo
长春市	Ĉangĉuno
奥波莱	Opole
吉林市	Ĝilino
四平市	Siping
伦敦 (加拿大)	Londono (Ontario)
Template:Cite book	Ŝablono:Citaĵo el libro
埃德加·科德	Edgar Frank Codd
尼克劳斯·维尔特	Niklaus Wirth
詹姆斯·尼古拉·格雷	James N. Gray
布萊恩·柯林漢	Brian Kernighan
道格拉斯·恩格尔巴特	Douglas Engelbart
比雅尼·斯特劳斯特鲁普	Bjarne Stroustrup
安德鲁·斯图尔特·塔能鲍姆	Andrew S. Tanenbaum
肯尼斯·艾佛森	Kenneth E. Iverson
爱丽丝梦游仙境	La aventuroj de Alicio en Mirlando
保罗·格雷厄姆	Paul Graham
索波特	Sopot
约翰·麦卡锡	John McCarthy
阿隆佐·邱奇	Alonzo Church
艾伦·凯	Alan Kay
文頓·瑟夫	Vinton Cerf
松本行弘	Matsumoto Yukihiro
克劳德·香农	Claude Shannon
伊恩·默多克	Ian Murdok
拉斯姆斯·勒多夫	Rasmus Lerdorf
朱邦復	CHU Bong-Foo
傑夫·霍金	Jeff Hawkins
薩盧塔蒂	Coluccio Salutati
威廉·哈维	William Harvey
佩尔·拉格奎斯特	Pär Lagerkvist
尤金·奥尼尔	Eugene O'Neill
橄欖油	Oliv-oleo
米兰·昆德拉	Milan Kundera
拉特科·姆拉迪奇	Ratko Mladić
盖亚	Geo
塞琉古帝国	Seleŭkio
埃胡德·奥尔默特	Ehud Olmert
路易·布莱叶	Louis Braille
素描	Desegnaĵo
希拉里·斯旺克	Hilary Swank
埃羅爾·弗林	Errol Flynn
蛋	Kokina ovo
离婚	Eksgeedziĝo
浸信会	Baptismo
阿爾斯特省	Ulster
性別歧視主義	Seksismo
郁金香	Tulipo
紀錄片	Dokumenta filmo
鸸鹋	Emuo
哈卡里省	Provinco Hakkâri
阿尔恩斯多夫	Arnsdorf
布雷特尼格-豪斯瓦尔德	Bretnig-Hauswalde
布尔考	Burkau
克罗斯特维茨	Crostwitz
库内瓦尔德	Cunewalde
德米茨-图米茨	Demitz-Thumitz
尼古拉·安德烈耶维奇·里姆斯基-科萨科夫	Nikolaj Rimskij-Korsakov
多贝尔绍-高西希	Doberschau-Gaußig
埃尔斯特赖德	Elsterheide
拉瓦尔品第	Rawalpindi
格达	Göda
大杜布劳	Großdubrau
大哈尔陶	Großharthau
越橘	Ruĝa vakcinio
大瑙恩多夫	Großnaundorf
大波斯特维茨	Großpostwitz (Oberlausitz)
超文本	Hiperteksto
古陶 (德国萨克森州)	Guttau
一部	一
哈塞尔巴塔尔	Haselbachtal
霍基尔希	Hochkirch
杀毒软件	Kontraŭvirusilo
克尼格斯瓦尔塔	Königswartha
库布许茨	Kubschütz
劳斯尼茨	Laußnitz
洛萨	Lohsa
小安的列斯群岛	Malgrandaj Antiloj
马尔施维茨	Malschwitz
内贝尔许茨	Nebelschütz
内施维茨	Neschwitz
地峡	Istmo
上古里希	Obergurig
奥霍尔恩	Ohorn
奥斯灵	Oßling
奥滕多夫-奥克里拉	Ottendorf-Okrilla
潘施维茨-库考	Panschwitz-Kuckau
普施维茨	Puschwitz
馬克·夏卡爾	Marc Chagall
雷克尔维茨	Räckelwitz
拉迪博尔	Radibor
拉尔比茨-罗森塔尔	Ralbitz-Rosenthal
契约	Kontrakto
拉梅瑙	Rammenau
申泰兴	Schönteichen
施韦普尼茨	Schwepnitz
斯普雷河畔索兰	Sohland an der Spree
施普雷塔尔	Spreetal
鐵路機車	Lokomotivo
施泰尼格特沃尔姆斯多夫	Steinigtwolmsdorf
汉谟拉比法典	Kodekso de Hamurabi
藍菌門	Cianobakterio
海里	Marmejlo
二部	二
赫扎努夫	Chrzanów
胡安·裴隆	Juan Domingo Perón
阿巴拉契亚山脉	Apalaĉaj Montoj
冰島國旗	Flago de Islando
加濟安泰普	Gaziantep
邁爾士·戴維斯	Miles Davis
珀西·比希·雪莱	Percy Bysshe Shelley
三角函数	Trigonometria funkcio
莫斯塔爾	Mostar
贝西史密斯	Bessie Smith
維希	Vichy
弗朗西斯·斯科特·菲茨杰拉德	Francis Scott Key Fitzgerald
谢默斯·希尼	Seamus Heaney
奥拉迪亚	Oradea
啊，加拿大	O Canada
比斯開省	Provinco Biskajo
贝希托尔德伯爵	Leopold von Berchtold
莫利斯·貝尼奧斯基	Moric Benjovski
保罗·亨雷	Paul Henreid
羅特·蓮娜	Lotte Lenya
克里斯托弗·鲍里尼	Christopher Paolini
乔伊·亚当森	Joy Adamson
多德勒尔	Heimito von Doderer
约瑟夫·克里胡贝尔	Josef Kriehuber
斯戴芬·卢佐维茨基	Stefan Ruzowitzky
新库兹涅茨克	Novokuzneck
谢莱	Chailley
凡尔赛区	Arondismento Versailles
賈利·古柏	Gary Cooper
埃农	Esnon
芭芭拉·斯坦威克	Barbara Stanwyck
皇家維多利亞勳章	Reĝa Ordeno de Viktoria
功績勳章	Brita Merit-Ordeno
尚普塞夫赖	Champcevrais
厄勒梯亚	Ilitio
俄罗斯混乱时期	Granda Malordo (Rusio)
鲍勃·霍普	Bob Hope
傑克·萊蒙	Jack Lemmon
尚乌	Chamoux
库尔吉	Courgis
州際公路系統	Interŝtata Ŝosea Sistemo
尚普洛斯	Champlost
沙朗特奈	Charentenay
库尔图万	Courtoin
侠盗猎车手2	Grand Theft Auto 2
小行星6640	6640 Falorni
达内穆瓦内	Dannemoine
安佐拉德莱米拉	Anzola dell'Emilia
俠盜獵車手 (遊戲)	Grand Theft Auto
台灣藍鵲	Formosa blua pigo
巴里切拉	Baricella
巴扎诺	Bazzano
莱-沃尔河畔多梅西	Domecy-sur-le-Vault
安托法加斯塔省	Antofagasta (provinco)
遠東博物館	Bruselaj Muzeoj de Ekstrema Oriento
本蒂沃利奥	Bentivoglio
托西尼亚诺镇	Borgo Tossignano
眼斑吐綬雞	Jukatana meleagro
威廉·卡克斯頓	William Caxton
布德里奥	Budrio
雷诺河畔卡尔代拉拉	Calderara di Reno
卡穆尼亚诺	Camugnano
穆特 (梅爾辛省)	Mut (Mersin)
雷诺河畔卡萨莱基奥	Casalecchio di Reno
卡萨尔菲乌马内塞	Casalfiumanese
俠盜獵車手：罪惡城市	Grand Theft Auto: Vice City
阿亚诺堡	Castel d'Aiano
里奥堡	Castel del Rio
統一門	Arko de Reunuiĝo
卡肖堡	Castel di Casio
阿尔比主教座堂	Katedralo Sankta-Cecilia (Albi)
乌赫斯特海斯特	Oegstgeest
博洛尼亚地区圭尔福堡	Castel Guelfo di Bologna
马焦雷堡	Castel Maggiore
阿帕欽甘	Apatzingán
沙西格莱	Chassignelles
巴拉科阿	Baracoa
圣彼得罗·泰尔梅堡	Castel San Pietro Terme
阿尔吉莱堡	Castello d'Argile
塞拉瓦莱堡	Castello di Serravalle
卡斯泰纳索	Castenaso
佩波利堡	Castiglione dei Pepoli
克雷斯佩拉诺	Crespellano
克雷瓦尔科雷	Crevalcore
迪桑吉	Dissangis
小行星6641	6641 Bobross
小行星6648	(6648) 1991 PM11
俠盜獵車手IV：失落與詛咒	Grand Theft Auto 4: The Lost and Damned
俠盜獵車手：夜生活之曲	Grand Theft Auto 4: The Ballad of Gay Tony
尚伯格勒	Chambeugle
多扎	Dozza
丰塔内利切	Fontanelice
俠盜獵車手：血戰唐人街	Grand Theft Auto: Chinatown Wars
加焦蒙塔诺	Gaggio Montano
加列拉	Galliera
谢内	Cheney
格拉纳廖内	Granaglione
艾米利亚地区格拉纳罗洛	Granarolo dell'Emilia
格里扎纳莫兰迪	Grizzana Morandi
莫納島	Mona
第二次義大利衣索比亞戰爭	Dua italio-etiopia milito
科朗	Collan
利扎诺-因贝尔韦代雷	Lizzano in Belvedere
洛亚诺	Loiano
马拉尔贝戈	Malalbergo
马尔扎博托	Marzabotto
谢维隆	Chevillon (Yonne)
弗雷德里克七世	Frederiko la 7-a (Danio)
梅迪奇纳	Medicina
米内尔比奥	Minerbio
圣塞韦里诺马尔凯	San Severino Marche
库朗热龙	Coulangeron
圣安杰洛因蓬坦奥	Sant'Angelo in Pontano
莫利内拉	Molinella
蒙吉多罗	Monghidoro
蒙特圣彼得罗	Monte San Pietro
萨尔纳诺	Sarnano
95號州際公路	Interstate 95
蒙特伦齐奥	Monterenzio
塞夫罗	Sefro
蒙特韦廖	Monteveglio
蒙祖诺	Monzuno
莫尔达诺	Mordano
塞拉瓦莱迪基耶恩蒂	Serravalle di Chienti
托伦蒂诺	Tolentino
皮亚诺罗	Pianoro
特雷伊阿	Treia
皮耶韦-迪琴托	Pieve di Cento
乌尔比萨利亚	Urbisaglia
波雷塔泰尔梅	Porretta Terme
乌西塔	Ussita
萨拉博洛涅塞	Sala Bolognese
维索	Visso
桑布罗谷圣贝内代托	San Benedetto Val di Sambro
圣乔治-迪皮亚诺	San Giorgio di Piano
圣乔瓦尼-因佩尔西切托	San Giovanni in Persiceto
萨韦纳河畔圣拉扎罗	San Lazzaro di Savena
圣彼得罗-因卡萨莱	San Pietro in Casale
圣阿加塔-博洛涅塞	Sant'Agata Bolognese
萨索马可尼	Sasso Marconi
萨维尼奥	Savigno
佐拉普雷多萨	Zola Predosa
吉普斯夸省	Provinco Gipusko
韋爾瓦省	Provinco Onubo
哈恩省	Provinco Ĥaeno
莎莉·麥克琳	Shirley MacLaine
卢戈省	Provinco Lugo
馬拉加省	Malago (provinco)
沃伦·比蒂	Warren Beatty
黑犀	Kurtbuŝa rinocero
塞拉佩特罗纳	Serrapetrona
奥伦塞省	Provinco Oŭrenso
卡马河畔切尔尼	Nabereĵnije Ĉelni
风之谷	Naŭsika el la Venta Valo
蒂姆·罗宾斯	Tim Robbins
波莱特·戈达德	Paulette Goddard
阿德拉拉圣马蒂诺	Adrara San Martino
阿德拉拉圣罗科	Adrara San Rocco
阿尔巴诺桑塔莱桑德罗	Albano Sant'Alessandro
阿尔瓜	Algua
阿尔梅诺圣巴尔托洛梅奥	Almenno San Bartolomeo
阿尔梅诺圣萨尔瓦托雷	Almenno San Salvatore
阿尔梅	Almè
阿尔扎诺隆巴尔多	Alzano Lombardo
安比韦雷	Ambivere
安泰尼亚泰	Antegnate
阿尔切内	Arcene
翼神世音	RaZefon
阿尔德肖	Ardesio
角色	Fikciulo
阿尔扎戈达达	Arzago d'Adda
瓊·芳登	Joan Fontaine
阿韦拉拉	Averara
阿维亚蒂科	Aviatico
拉斯帕爾馬斯省	Provinco La Palmoj
阿扎诺圣保洛	Azzano San Paolo
阿佐内	Azzone
蓬特韋德拉省	Provinco Pontevedro
塞維利亞省	Provinco Sevilo
琴吉·羅傑斯	Ginger Rogers
阿尔真塔	Argenta
贝拉 (费拉拉省)	Berra
邦德诺	Bondeno
琴托	Cento (Italio)
科迪戈罗	Codigoro
科马基奥	Comacchio
科帕罗	Copparo
福尔米尼亚纳	Formignana
戈罗 (意大利)	Goro
约兰达迪萨沃亚	Jolanda di Savoia
拉戈桑托	Lagosanto
马西托雷洛	Masi Torello
马萨菲斯卡利亚	Massa Fiscaglia
梅索拉	Mesola
米利亚里诺	Migliarino
米利亚罗	Migliaro
米拉贝洛	Mirabello
奥斯泰拉托	Ostellato
波焦雷纳蒂科	Poggio Renatico
波尔托马焦雷	Portomaggiore
圣阿戈斯蒂诺	Sant'Agostino
特雷西加洛	Tresigallo
维加拉诺马伊纳尔达	Vigarano Mainarda
沃吉耶拉	Voghiera
哈珀柯林斯	HarperCollins
希迈	Chimay (Belgio)
马格尼托哥尔斯克	Magnitogorsk
约翰娜·万卡	Johanna Wanka
S-Bahn	S-Bahn
巴德拉加茲	Bad Ragaz
塔拉戈纳省	Provinco Taragono
大寫字母	Majusklo
波兰共和国下议院	Sejmo (Pollando)
下塔吉尔	Niĵnij Tagil
波兰共和国上议院	Senato (Pollando)
伏尔加斯基	Volĵskij
欧伦塞	Oŭrenso
米約高架橋	Viadukto de Millau
青函隧道	Sejkan (tunelo)
万神庙	Panteono de Romo
伊卜	Ibb
柏林城市快鐵	S-Bahn de Berlino
六四事件	Protestoj sur placo Tian An Men
Commodore 64	Commodore 64
胡耀邦	Hu Yaobang
枕頭	Kuseno
安全气囊	Aersako
巴尼奥-迪罗马涅	Bagno di Romagna
贝尔蒂诺罗	Bertinoro
博尔吉	Borghi
卡斯特罗卡罗泰尔梅-泰拉德尔索莱	Castrocaro Terme e Terra del Sole
切塞纳蒂科	Cesenatico
罗马涅地区奇维泰拉	Civitella di Romagna
多瓦多拉	Dovadola
福林波波利	Forlimpopoli
加莱阿塔	Galeata
甘贝托拉	Gambettola
加泰奥	Gatteo
隆贾诺	Longiano
梅尔多拉	Meldola
萨拉切诺镇	Mercato Saraceno
莫迪利亚纳	Modigliana
波蒂科-圣贝内代托	Portico e San Benedetto
普雷达皮奥	Predappio
普雷米尔库奥雷	Premilcuore
罗卡-圣卡夏诺	Rocca San Casciano
龙科弗雷多	Roncofreddo
圣毛罗帕斯科利	San Mauro Pascoli
圣索菲亚 (意大利)	Santa Sofia
萨尔西纳	Sarsina
鲁比科内河畔萨维纳诺	Savignano sul Rubicone
鲁比科内河畔索利亚诺	Sogliano al Rubicone
特雷多齐奥	Tredozio
韦尔盖雷托	Verghereto
巴尼亚蒂卡	Bagnatica
巴尔巴塔	Barbata
巴里亚诺	Bariano
巴尔扎纳	Barzana
贝杜利塔	Bedulita
贝尔本诺	Berbenno
贝尔佐圣费尔莫	Berzo San Fermo
比亚恩扎诺	Bianzano
布莱洛	Blello
博尔加雷	Bolgare
博尔蒂耶雷	Boltiere
博纳泰索普拉	Bonate Sopra
菌根	Mikorizo
聖克魯斯-德特內里費省	Provinco Sankta Kruco de Tenerifo
博纳泰索托	Bonate Sotto
博尔戈迪泰尔佐	Borgo di Terzo
博西科	Bossico
博塔努科	Bottanuco
布拉卡	Bracca
布兰齐	Branzi
布伦巴泰	Brembate
布伦巴泰迪索普拉	Brembate di Sopra
布伦比拉	Brembilla
布里尼亚诺杰拉达达	Brignano Gera d'Adda
布鲁马诺	Brumano
布鲁萨波尔托	Brusaporto
巴斯蒂利亚	Bastiglia
邦波尔托	Bomporto
坎波加利亚诺	Campogalliano
坎波桑托	Camposanto
卡爾皮 (義大利)	Carpi
卡斯泰尔夫兰科埃米利亚	Castelfranco Emilia
卡斯泰尔诺沃兰戈内	Castelnuovo Rangone
卡斯泰尔韦特罗迪莫德纳	Castelvetro di Modena
卡韦佐	Cavezzo
Amiga	Amiga
孔科尔迪亚苏拉塞基亚	Concordia sulla Secchia
法纳诺	Fanano
菲纳莱埃米利亚	Finale Emilia
菲奥拉诺莫德内塞	Fiorano Modenese
菲乌马尔博	Fiumalbo
福尔米吉内	Formigine
弗拉西诺罗	Frassinoro
圭利亚	Guiglia
拉马莫科尼奥	Lama Mocogno
马拉内罗	Maranello
帕纳罗河畔马拉诺	Marano sul Panaro
梅多拉	Medolla
蒙泰克雷托	Montecreto
蒙泰菲奥里诺	Montefiorino
蒙泰塞	Montese
诺南托拉	Nonantola
诺维迪莫德纳	Novi di Modena
帕拉加诺	Palagano
帕武洛内尔夫里尼亚诺	Pavullo nel Frignano
皮耶韦佩拉戈	Pievepelago
波利纳戈	Polinago
普里尼亚诺苏拉塞基亚	Prignano sulla Secchia
拉瓦里诺	Ravarino
廖卢纳托	Riolunato
圣切萨廖苏尔帕纳罗	San Cesario sul Panaro
圣费利切苏尔帕纳罗	San Felice sul Panaro
圣波西多尼奥	San Possidonio
圣普罗斯佩罗	San Prospero
西佛蘭德語	Okcidentflandra lingvo
帕纳罗河畔萨维尼亚诺	Savignano sul Panaro
塞拉马佐尼	Serramazzoni
塞斯托拉	Sestola
索列拉	Soliera
斯皮兰贝尔托	Spilamberto
维尼奥拉	Vignola
佐卡	Zocca
卡尔奇纳泰	Calcinate
卡尔乔	Calcio
卡卢斯科达达	Calusco d'Adda
卡尔文扎诺	Calvenzano
卡梅拉塔科尔内洛	Camerata Cornello
卡诺尼卡达达	Canonica d'Adda
卡皮佐内	Capizzone
卡普里亚泰圣杰尔瓦肖	Capriate San Gervasio
卡普里诺贝尔加马斯科	Caprino Bergamasco
卡罗比奥德利亚恩杰利	Carobbio degli Angeli
卡罗纳	Carona (Bergamo)
卡尔维科	Carvico
卡萨扎	Casazza
卡西拉泰达达	Casirate d'Adda
安乐死	Eŭtanazio
卡斯尼戈	Casnigo
卡西廖	Cassiglio
卡斯泰尔罗佐内	Castel Rozzone
奥克尼	Orkadoj
卡斯泰利卡莱皮奥	Castelli Calepio
卡斯蒂奥内德拉普雷索拉纳	Castione della Presolana
克卢日-纳波卡	Kluĵo
卡斯特罗 (贝加莫省)	Castro (BG)
卡韦尔纳戈	Cavernago
卡扎诺桑坦德雷亚	Cazzano Sant'Andrea
始祖鸟	Arkeopterigo
切纳泰索普拉	Cenate Sopra
切纳泰索托	Cenate Sotto
切内	Cene
切雷泰	Cerete
基尼奥洛迪索拉	Chignolo d'Isola
基乌杜诺	Chiuduno
奇萨诺贝尔加马斯科	Cisano Bergamasco
奇塞拉诺	Ciserano
奇维达泰亚尔皮亚诺	Cividate al Piano
克卢索内	Clusone
科莱雷	Colere
科洛尼奥阿尔塞廖	Cologno al Serio
科尔扎泰	Colzate
科蒙诺沃	Comun Nuovo
科尔纳伊马尼亚	Corna Imagna
科尔纳尔巴	Cornalba
科尔泰诺瓦 (贝加莫省)	Cortenuova
科斯塔瓦莱伊马尼亚	Costa Valle Imagna
科斯塔沃尔皮诺	Costa Volpino
科斯塔迪梅扎泰	Costa di Mezzate
科斯塔塞里纳	Costa di Serina
库尔诺	Curno
库肖	Cusio
阿尔巴雷托	Albareto
巴尔迪	Bardi
贝多尼亚	Bedonia
贝尔切托	Berceto
博尔戈瓦尔迪塔罗	Borgo Val di Taro
布塞托	Busseto
卡莱斯塔诺	Calestano
科莱基奥	Collecchio
科洛尔诺	Colorno
孔皮亚诺	Compiano
科尔尼廖	Corniglio
费利诺	Felino
菲登扎	Fidenza
丰塔内拉托	Fontanellato
丰泰维沃	Fontevivo
福尔诺沃迪塔罗	Fornovo di Taro
兰吉拉诺	Langhirano
莱西尼亚诺德巴尼	Lesignano de' Bagni
梅德萨诺	Medesano
蒙基奥德莱科尔蒂	Monchio delle Corti
蒙泰基亚鲁戈洛	Montechiarugolo
内维亚诺德利亚尔杜伊尼	Neviano degli Arduini
诺切托	Noceto
帕兰扎诺	Palanzano
佩莱格里诺帕尔门塞	Pellegrino Parmense
鼠蛛	Missulena
波莱西内帕尔门塞	Polesine Parmense
罗卡比亚恩卡	Roccabianca
萨拉巴甘扎	Sala Baganza
萨尔索马焦雷泰尔梅	Salsomaggiore Terme
圣塞孔多帕尔门塞	San Secondo Parmense
西萨	Sissa
索利尼亚诺	Solignano
索拉尼亚 (帕尔马省)	Soragna
弗雷德·阿斯泰爾	Fred Astaire
索尔博洛	Sorbolo
泰伦佐	Terenzo
雷切尔·卡森	Rachel Carson
蒂扎诺瓦尔帕尔马	Tizzano Val Parma
托尔诺洛	Tornolo
托里莱	Torrile
特拉韦尔塞托洛	Traversetolo
特雷卡萨利	Trecasali
瓦尔莫佐拉	Valmozzola
瓦拉诺德梅莱加里	Varano de' Melegari
齐贝洛	Zibello
磅	Funto
主動脈	Aorto
蒸馏	Distilado
血小板	Trombocito
达尔米内	Dalmine
多塞纳	Dossena
恩迪内加伊阿诺	Endine Gaiano
反照率	Albedo
恩特拉蒂科	Entratico
法拉杰拉达达	Fara Gera d'Adda
法劳利瓦纳孔索拉	Fara Olivana con Sola
菲拉戈	Filago
菲诺德尔蒙泰	Fino del Monte
巴哈欧拉	Bahá'u'lláh
菲奥拉诺阿尔塞廖	Fiorano al Serio
丰塔内拉	Fontanella
丰泰诺	Fonteno
青春期	Pubereco
福波洛	Foppolo
定义	Difino
福雷斯托斯帕尔索	Foresto Sparso
福尔诺沃圣焦万尼	Fornovo San Giovanni
普罗旺斯	Provenco
富伊皮亚诺瓦莱伊马尼亚	Fuipiano Valle Imagna
教宗义禄	Eleŭterio
甘德利诺	Gandellino
甘迪诺	Gandino
甘多索	Gandosso
加韦里纳泰尔梅	Gaverina Terme
加扎尼加	Gazzaniga
杰罗萨	Gerosa
福田康夫	Fukuda Yasuo
吉萨尔巴	Ghisalba
戈尔拉戈	Gorlago
戈尔莱	Gorle
戈尔诺	Gorno
格拉索比奥	Grassobbio
格罗莫	Gromo
格罗内	Grone
格鲁梅洛德尔蒙泰	Grumello del Monte
伊索拉迪丰德拉	Isola di Fondra
拉廖 (贝加莫省)	Lallio
莱费	Leffe
伦纳 (贝加莫省)	Lenna (Italio)
莱瓦泰	Levate
洛卡泰洛	Locatello
洛韦雷	Lovere
卢拉诺	Lurano
卢扎纳	Luzzana
马多内	Madone
马佩洛	Mapello
马尔蒂嫩戈	Martinengo
梅多拉戈	Medolago
梅佐尔多	Mezzoldo
米萨诺迪杰拉达达	Misano di Gera d'Adda
莫约德卡尔维	Moio de' Calvi
首字母縮略字	Akronimo
莫纳斯泰罗洛德尔卡斯泰洛	Monasterolo del Castello
蒙泰洛	Montello
纽波特	Newport (Monmouthshire)
莫伦戈	Morengo
莫尔尼科阿尔塞廖	Mornico al Serio
莫扎尼卡	Mozzanica
莫佐	Mozzo
依諾增爵十世	Inocento la 10-a
嫩布罗	Nembro
原生動物	Protozoo
教宗沙德	Sotero
依諾增爵十一世	Inocento la 11-a
奥尔莫阿尔布伦博	Olmo al Brembo
歷山八世	Aleksandro la 8-a
奥尔特雷伊尔科莱	Oltre il Colle
奥尔特雷森达阿尔塔	Oltressenda Alta
奥内塔	Oneta
奥诺雷	Onore
教宗则斐琳	Zefireno
奥廖阿尔塞廖	Orio al Serio
奥尔尼卡	Ornica
奥肖索普拉	Osio Sopra
奥肖索托	Osio Sotto
塔耳塔罗斯	Tartaro
机械工程	Mekanika inĝenierarto
利勒哈默尔	Lillehammer
帕加扎诺	Pagazzano
帕拉迪纳	Paladina
姓氏	Familia nomo
帕拉扎戈	Palazzago
帕洛斯科	Palosco
直立人	Homo erectus
帕雷 (贝加莫省)	Parre
帕尔扎尼卡	Parzanica
佩德伦戈	Pedrengo
能人	Homo habilis
佩伊阿	Peia
皮亚尼科	Pianico
皮亚廖	Piario
亨利一世 (英格兰)	Henriko la 1-a (Anglio)
