अफ्रीका	Afriko
सहारा मरुभूमि	Saharo
सन् १५५६	1556
सन् १५५७	1557
सन् १४७४	1474
सन् १५५८	1558
सन् १४७५	1475
सन् १५५९	1559
सन् १४७६	1476
सन् १५६०	1560
सन् १४७७	1477
सन् १४७८	1478
सन् १५६१	1561
सन् १४७९	1479
सन् १५६२	1562
सन् १५६३	1563
सन् १५६४	1564
सन् १५६५	1565
समलैङ्गिकता	Samseksemo
सन् १५६६	1566
सन् १४८४	1484
सन् १५६७	1567
सन् १४८५	1485
सन् १४८६	1486
ललितपुर उपमहानगरपालिका	Lalitpur
सन् १५६८	1568
समलिङ्गी (महिला)	Samseksemulino
सन् १४८७	1487
सन् १५६९	1569
सन् १५७०	1570
ह्यामबर्गर	Hamburgero
सन् १४८९	1489
सन् १५७१	1571
सन् १४९०	1490
सन् १५७२	1572
सन् १५७३	1573
सन् १४९२	1492
सन् १५७४	1574
सन् १५७५	1575
सन् १५७६	1576
सन् १४९७	1497
सन् १५७७	1577
सन् १४९८	1498
सन् १५७८	1578
सन् १४९९	1499
सन् १५७९	1579
सन् १५८०	1580
सन् १५८१	1581
क्वार्क	Kvarko
सन् १५८२	1582
सन् १६००	1600
सन् १६०१	1601
सन् १५८३	1583
सन् १६०२	1602
सन् १५८४	1584
अप क्वार्क	U-kvarko
सन् १६०३	1603
सन् १५८५	1585
सन् १६०४	1604
सन् १५८६	1586
सन् १६०५	1605
सन् १५८७	1587
सन् १६०६	1606
सन् १६०७	1607
सन् १५८८	1588
सन् १६०८	1608
सन् १५८९	1589
सन् १६०९	1609
सन् १५९०	1590
सन् १६१०	1610
सन् १५९१	1591
सन् १६११	1611
सन् १५९२	1592
सन् १६१२	1612
सन् १५९३	1593
सन् १६१३	1613
सन् १५९४	1594
सन् १६१४	1614
सन् १५९५	1595
सन् १६१५	1615
सन् १५९६	1596
सन् १६१६	1616
सन् १५९७	1597
सन् १६१७	1617
सन् १५९८	1598
सन् १५९९	1599
सन् १६२१	1621
सन् १७००	1700
सन् १७०१	1701
सन् १६२२	1622
सन् १६२३	1623
सन् १७०२	1702
सन् १६२४	1624
सन् १७०३	1703
सन् १७०४	1704
सन् १६२५	1625
सन् १७०५	1705
सन् १६२६	1626
सन् १६२७	1627
सन् १६२८	1628
सन् १७०७	1707
सन् १७०८	1708
सन् १६२९	1629
सन् १६३०	1630
सन् १७०९	1709
सन् १६३१	1631
सन् १७१०	1710
सन् १६३२	1632
सन् १७११	1711
अन्तर्राष्ट्रिय खगोलीय संघ	Internacia Astronomia Unio
सन् १६३३	1633
सन् १७१२	1712
सन् १६३४	1634
सन् १७१३	1713
सन् १८००	1800
सन् १८०१	1801
सन् १७१४	1714
सन् १६३५	1635
सन् १८०२	1802
सन् १७१५	1715
सन् १६३६	1636
सन् १८०३	1803
सन् १६३७	1637
सन् १६३८	1638
सन् १८०४	1804
सन् १७१७	1717
सन् १६३९	1639
सन् १८०५	1805
सन् १६४०	1640
सन् १८०६	1806
सन् १६४१	1641
सन् १८०७	1807
सन् १६४२	1642
सन् १७२१	1721
सन् १८०८	1808
सन् १६४३	1643
सन् १७२२	1722
सन् १८०९	1809
सन् १६४४	1644
सन् १७२३	1723
सन् १८१०	1810
सन् १६४५	1645
सन् १७२४	1724
सन् १८११	1811
सन् १६४६	1646
सन् १७२५	1725
सन् १८१२	1812
सन् १६४७	1647
सन् १७२६	1726
सन् १८१३	1813
सन् १६४८	1648
सन् १७२७	1727
सन् १८१४	1814
सन् १६४९	1649
सन् १७२८	1728
सन् १८१५	1815
सन् १६५०	1650
सन् १७२९	1729
सन् १८१६	1816
सन् १६५१	1651
सन् १७३०	1730
सन् १८१७	1817
सन् १६५२	1652
सन् १७३१	1731
सन् १८१८	1818
सन् १६५३	1653
सन् १७३२	1732
सन् १६५४	1654
सन् १७३३	1733
सन् १६५५	1655
सन् १८२१	1821
सन् १७३४	1734
सन् १६५६	1656
सन् १८२२	1822
सन् १७३५	1735
सन् १६५७	1657
सन् १८२३	1823
सन् १७३६	1736
सन् १६५८	1658
सन् १७३७	1737
सन् १८२४	1824
सन् १६५९	1659
सन् १७३८	1738
सन् १८२५	1825
सन् १६६०	1660
सन् १७३९	1739
सन् १८२६	1826
सन् १६६१	1661
सन् १७४०	1740
सन् १८२७	1827
कालिदास	Kalidaso
श्रेणी:ताराहरू	Kategorio:Steloj
नास्तिकता	Ateismo
पुस्तकालय	Librarejo
एफसी बार्सिलोना	Futbala Klubo de Barcelono
आनुवांशिकता	Genetiko
राजनीति	Politiko
विश्व बैंक	Monda Banko
लोकतन्त्र	Demokratio
मारिया क्युरी	Marie Curie
जीन	Geno
सरकार	Registaro
नोबेल पुरस्कार	Nobel-premio
अलेक्जान्डर पुस्किन	Aleksandr Puŝkin
रोगशास्त्र	Patologio
हान राजवंश	Dinastio Han
रोजा लुक्सम्बर्ग	Roza Luksemburg
रवीन्द्रनाथ टेगोर	Rabindranath Tagore
नारीवाद	Feminismo
एडा लभलेस	Ada Lovelace
साम्राज्यवाद	Imperiismo
गणतन्त्र	Respubliko
समाजवाद	Socialismo
किलिमान्जारो	Kilimanĝaro
चुम्बन	Kiso
नाजीवाद	Naziismo
ज्याक कार्टिअर	Jacques Cartier
क्रिस्टोफर कोलम्बस	Kristoforo Kolumbo
हर्नान कोर्टस	Hernán Cortés
युरी गागरिन	Jurij Aleksejeviĉ Gagarin
भास्को दा गामा	Vasco da Gama
डान ब्राउन	Dan Brown
विशाल ताल	Grandaj Lagoj (Nordameriko)
पानामा नहर	Panama kanalo
अन्टार्क्टिक महासागर	Suda Oceano
ह्वांगहो	Flava Rivero
कान	Orelo
आँखा	Okulo
भेडा	Ŝafo
उँट	Kamelo
स्तनधारी प्राणी	Mamuloj
हात्ती	Elefanto
कमिला	Formiko
मौरी	Abelo
मार्गरेट थ्याचर	Margaret Thatcher
डी एन ए	DNA
लाम्चो फर्सी	Legomkukurbo
काउली	Florbrasiko
भान्टा	Melongeno
आमा	Patrino
हिउँ	Neĝo
बुवा	Patro
सन् १८२८	1828
सन् १८२९	1829
सन् १७४१	1741
सन् १६६२	1662
सन् १७४२	1742
सन् १८३०	1830
सन् १६६३	1663
सन् १८३१	1831
सन् १७४३	1743
सन् १६६४	1664
सन् १६६५	1665
सन् १७४४	1744
सन् १८३२	1832
सन् १६६६	1666
सन् १७४५	1745
सन् १८३३	1833
सन् १६६७	1667
सन् १७४६	1746
सन् १८३४	1834
डेबियन	Debiano
सन् १६६८	1668
सन् १७४७	1747
सन् १८३५	1835
सन् १७४८	1748
सन् १८३६	1836
सन् १६६९	1669
सन् १६७०	1670
सन् १७४९	1749
सन् १८३७	1837
सन् १६७१	1671
सन् १७५०	1750
सन् १८३८	1838
सन् १६७२	1672
सन् १७५१	1751
सन् १८३९	1839
सन् १६७३	1673
सन् १७५२	1752
सन् १८४०	1840
सन् १६७४	1674
सन् १७५३	1753
सन् १८४१	1841
सन् १७५४	1754
सन् १६७५	1675
सन् १८४२	1842
सन् १७५५	1755
सन् १६७६	1676
सन् १८४३	1843
सन् १६७७	1677
सन् १७५६	1756
सन् १८४४	1844
सन् १६७८	1678
सन् १७५७	1757
सन् १८४५	1845
सन् १६७९	1679
सन् १७५८	1758
सन् १८४६	1846
सन् १६८०	1680
सन् १७५९	1759
सन् १८४७	1847
सन् १६८१	1681
सन् १७६०	1760
सन् १८४८	1848
सन् १६८२	1682
सन् १७६१	1761
सन् १८४९	1849
सन् १६८३	1683
सन् १७६२	1762
सन् १८५०	1850
सन् १६८४	1684
सन् १७६३	1763
सन् १८५१	1851
सन् १७६४	1764
सन् १६८५	1685
सन् १८५२	1852
सन् १६८६	1686
सन् १७६५	1765
सन् १८५३	1853
सन् १६८७	1687
सन् १७६६	1766
सन् १८५४	1854
सन् १६८८	1688
सन् १७६७	1767
सन् १८५५	1855
सन् १६८९	1689
सन् १७६८	1768
सन् १८५६	1856
सन् १६९०	1690
सन् १७६९	1769
सन् १८५७	1857
सन् १६९१	1691
सन् १७७०	1770
सन् १८५८	1858
सन् १६९२	1692
सन् १७७१	1771
सन् १८५९	1859
सन् १६९३	1693
सन् १७७२	1772
सन् १८६०	1860
सन् १७७३	1773
सन् १८६१	1861
सन् १६९४	1694
सन् १६९५	1695
सन् १७७४	1774
सन् १८६२	1862
सन् १६९६	1696
सन् १७७५	1775
सन् १८६३	1863
सन् १६९७	1697
सन् १७७६	1776
सन् १८६४	1864
सन् १६९८	1698
सन् १८६५	1865
सन् १७७७	1777
सन् १६९९	1699
सन् १८६६	1866
सन् १७७८	1778
सन् १७७९	1779
सन् १८६७	1867
सन् १७८०	1780
सन् १८६८	1868
सन् १७८१	1781
सन् १८६९	1869
नेपोलियन तृतीय	Napoleono la 3-a
रूसी भाषा	Rusa lingvo
सन् १७८२	1782
सन् १८७०	1870
सन् १७८३	1783
सन् १८७१	1871
भ्लादिमिर पुटिन	Vladimir Putin
कानून	Leĝo (jura)
सन् १७८४	1784
सन् १८७२	1872
संविधान	Konstitucio
सन् १७८५	1785
सन् १८७३	1873
सन् १७८६	1786
सन् १८७४	1874
सन् १७८७	1787
सन् १८७५	1875
सन् १७८८	1788
सन् १८७६	1876
सन् १७८९	1789
सन् १८७७	1877
सन् १७९०	1790
सन् १८७८	1878
सन् १८७९	1879
सन् १७९१	1791
यूरोपको इतिहास	Historio de Eŭropo
अन्तर्राष्ट्रिय न्यायालय	Internacia Kortumo
अन्तर्राष्ट्रीय आर्थिक कोष	Internacia Monunua Fonduso
सन् १७९२	1792
सन् १८८०	1880
सन् १७९३	1793
सन् १८८१	1881
युनेस्को	Unesko
सन् १७९४	1794
सन् १८८२	1882
मानव अधिकार सम्बन्धी विश्वव्यापी घोषणा पत्र १९४८	Universala Deklaracio de Homaj Rajtoj
सन् १७९५	1795
सन् १८८३	1883
विश्व स्वास्थ्य संगठन	Monda Organizaĵo pri Sano
सन् १७९६	1796
सन् १८८४	1884
सन् १७९७	1797
सन् १८८५	1885
सन् १८८६	1886
सन् १७९८	1798
विश्व व्यापार संगठन	Monda Organizaĵo pri Komerco
सन् १८८७	1887
सन् १७९९	1799
सन् १८८८	1888
सन् १८८९	1889
सन् १८९०	1890
सन् १८९१	1891
सन् १८९२	1892
सन् १८९३	1893
सन् १८९४	1894
सन् १८९५	1895
सन् १८९६	1896
सन् १८९७	1897
सन् १८९८	1898
चीनियाँ भाषा	Ĉina lingvaro
सन् १८९९	1899
शौचालय	Necesejo
मनोरोग विज्ञान	Psikiatrio
कोशिका	Ĉelo (biologio)
रगत	Sango
फोक्सो	Pulmo
श्वासप्रस्वास प्रणाली	Spira sistemo
पिउने पानी	Trinkakvo
शिक्षण विधि	Pedagogio
वर्षा	Pluvo
हिम पहिरो	Lavango
भूमण्डलीय उष्मीकरण	Tutmonda varmiĝo
भुँइचालो	Tertremo
खनिज	Mineralo
माउस	Komputila muso
प्राकृतिक विज्ञान	Naturscienco
विन्स्टन चर्चिल	Winston Churchill
नेल्सन मन्डेला	Nelson Mandela
मार्टिन लूथर किंग(जुनियर)	Martin Luther King
प्रोटिन	Proteino
बाढी	Inundo
सुनामी	Cunamo
ज्वालामुखी	Vulkano
बादल	Nubo
भूमरी	Tornado (ŝtormo)
ज्यामिति	Geometrio
व्याकरण	Gramatiko
उष्णदेशीय चक्रवात	Uragano
तेलगु भाषा	Telugua lingvo
वायुमण्डल	Atmosfero (astro)
अर्थशास्त्र	Ekonomiko
उद्योग	Industrio
भाषाविज्ञान	Lingvoscienco
लिपि	Skribsistemo
रोमन लिपि	Latina alfabeto
साक्षरता	Legoscio
साहित्य	Literaturo
बीरगञ्ज उपमहानगरपालिका	Birganj
श्रेणी:संगीत	Kategorio:Muziko
श्रेणी:साहित्य	Kategorio:Literaturo
उपन्यास	Romano
महाभारत	Mahabharato
दुईदलीय वनस्पति	Dukotiledonaj plantoj
रातो फ्याउरो	Ruĝa vulpo
फेडेरल व्यूरो अफ इन्भेस्टिगेशन	FBI
ह्यारी पोटर	Harry Potter
अल्गोरिदम	Algoritmo
हस्तमैथुन	Sinmasturbado
गुदा मैथुन	Anusa seksumado
अलेक्जेन्डर द ग्रेट	Aleksandro la Granda
शिक्षा	Eduko
ह्युगो चाभेज	Hugo Chávez
ओट्टो बिस्मार्क	Otto von Bismarck
विवाह	Geedzeco
कर्ट कोबेन	Kurt Cobain
गर्भपतन	Aborto
मानव अधिकार	Homaj rajtoj
पीटर महान	Petro la Granda
कफी	Kafo
दूध	Lakto
पहाड	Monto
मरुभूमि	Dezerto
सन यात सेन	Sun Jatsen
श्रोडिङ्गर्विडाल	Kato de Schrödinger
सम्राट अशोक	Aŝoko
अकबर	Jalaluddin Muhammad Akbar
पिएरी ट्रुडो	Pierre-Elliott Trudeau
हङकङ	Honkongo
कराची	Karaĉio
कोरियाई युद्ध	Korea milito
रियो दी जेनेरियो	Rio-de-Ĵanejro
रियल म्याड्रिड	Real Madrid
शाङ्घाई	Ŝanhajo
चीनको सांस्कृतिक क्रान्ति	Kultura Revolucio
वाल्ट डिज्नी	Walt Disney
आर्किमिडिज	Arkimedo
थोमस एल्वा एडिसन	Thomas Alva Edison
माइकल फराडे	Michael Faraday
हेनरी फोर्ड	Henry Ford
अर्मेनियाली भाषा	Armena lingvo
एच.टी.एम.एल.	HTML
युनिकोड	Unikodo
सत्यजित राय	Satyajit Ray
हंस तारामंडल	Cigno (konstelacio)
तारामण्डल	Konstelacio
जोन गुटेन्बर्ग	Johannes Gutenberg
जेम्स प्रेस्कट जुल	James Prescott Joule
निकोला टेस्ला	Nikola Tesla
जेम्स वाट	James Watt
चाणक्य	Ĉanakja
चेक भाषा	Ĉeĥa lingvo
कार्ल मार्क्स	Karl Marx
हिन्दू धर्म	Hinduismo
होसे मुहीका	José Mujica
जेम्स क्लर्क माक्सवेल	James Clerk Maxwell
स्तन	Mamo
अणु	Atomo
प्रकाश	Lumo
ताजमहल	Taĝ-Mahalo
कम्प्युटर भाषा	Programlingvo
इमेल	Retpoŝto
आत्मा	Animo
फारसी भाषा	Persa lingvo
धर्म	Religio
लुम्बिनी	Lumbini
जैन धर्म	Ĝajnismo
जर्ज विल्हेम फ्रेडरिक् हिगल	Hegelo
इण्डोनेशियाई भाषा	Indonezia lingvo
देवयानी तारामण्डल	Andromedo (konstelacio)
विश्व सम्पदा क्षेत्र	Monda heredaĵo de Unesko
सलाद	Salato
यहुदी धर्म	Judismo
थिम्पू	Timbuo
बन्दर सेरी बेगवान	Bandar-Seri-Begavano
इमानुएल क्यान्ट	Immanuel Kant
लुफ्थान्सा	Lufthansa
लाओत्से	Laozio
जीमेल	Gmail
माले	Maleo (Maldivoj)
योग	Jogo
फ्रेडरिक नीत्शे	Friedrich Wilhelm Nietzsche
एडम स्मिथ	Adam Smith
अण्डकोष	Testiko
खरायो	Kuniklo
मनोविज्ञान	Psikologio
महारानी भिक्टोरिया	Viktoria (Britio)
गौतम बुद्ध	Sidarto Gotamo
प्रिमियर लिग	F.A. Supra Ligo
सरदार बल्लभ भाई पटेल	Vallabhbhai Patel
नैतिकता	Etiko
प्रमाणशास्त्र	Sciteorio
मुक्त कर्म	Libera volo
लोखर्के	Sciuredoj
राजपंखी लोखेर्के	Flugsciuro
वास्तविकता	Realo
अब्दुल कलाम	Abdul Kalam
बिबिसी	BBC
शाहरूख खान	Shahrukh Khan
टोनी ब्लेयर	Tony Blair
मार्टिन लूथर	Marteno Lutero
जोन मेजर	John Major
अमिताभ बच्चन	Amitabh Bachchan
जेम्स क्यालेगन	James Callaghan
रोमन क्याथोलिक चर्च	Katolika Eklezio
त्रिमूर्ति	Trimurto
पेट	Ventro
ताओ धर्म	Taoismo
शिरा	Vejno
बङ्गाली भाषा	Bengala lingvo
पाठेघर	Utero
अग्न्याशय	Pankreato
प्रोस्टेट	Prostato
डिम्बाशय	Ovario
फकल्याण्ड टापु	Insuloj Falklandoj
एलिजाबेथ दोश्रो	Elizabeto la 2-a (Britio)
युवराज्ञी डायना	Diana Spencer
भारतीय शास्त्रीय संगीत	Klasika muziko
अक्षर	Litero
सेलम	Salem (Barato)
कोयंबतूर	Koimbatore
मिंग राजवंश	Dinastio Ming
भारतीय जनता पार्टी	Partio de la Popolo de Barato
महाकुम्भ	Kumbhamela
कोलोसियम	Koloseo
हृदयशास्त्र	Kardiologio
कराइना तारामण्डल	Kareno (konstelacio)
डेभिड बेक्ह्याम	David Beckham
गर्डन ब्राउन	Gordon Brown
आवर्त सारणी	Perioda tabelo
आत्महत्या	Sinmortigo
सुँगुर	Suo
सरीसृप	Reptilioj
यौन खेलौना	Erotikaj helpiloj
ढुकुर	Kolombedoj
अन्धोपन	Blindeco
जीवाणु	Bakterioj
रूख	Arbo
क्रान्ति	Revolucio
अङ्गूर	Vinbero
मह	Mielo
मासु	Viando
टाइगर वुड्स	Tiger Woods
आलु	Terpomo
भटमास	Sojfabo
रोबोट	Roboto
प्रविधि	Teknologio
इन्जिनियरिङ	Inĝenierarto
सञ्चार	Komunikado
सूचना	Informo
पत्रकारिता	Ĵurnalismo
समाचार पत्र	Gazeto
टेलिफोन	Telefono
द रोलिङ्ग स्टोन्स	The Rolling Stones
संस्कृति	Kulturo
संस्कृत	Sanskrito
अल्जाइमर	Alzheimer-malsano
पार्किनसन	Parkinsona malsano
सन् २१००	2100
विधायिका	Leĝdona povo
अंकगणित	Aritmetiko
विन्डोज ७	Vindozo 7
प्रतिशत	Procento
नून	Salo
फिडेल कास्ट्रो	Fidel Castro
हेटौंडा उपमहानगरपालिका	Hetauda
रसायनिक तत्व	Kemia elemento
कोण	Angulo
कार्बोहाइड्रेट	Karbonhidrato
हर्मोन	Hormono
युनिक्स	Unikso
इन्टरनेट सेवा प्रदायक	Provizanto de retkonekto
प्रवेग	Akcelo
शिव	Ŝivao
ऊर्जा	Energio
विष्णु	Viŝnuo
विद्युतचुम्बकीय विकिरण	Elektromagneta ondo
ब्रह्मा	Brahmao
रक संगीत	Rok-muziko
बल	Forto
चुम्बकीय क्षेत्र	Magneta kampo
गुरुत्व बल	Gravito
जुडो	Ĵudo
चुम्बक	Magneto
खेलौना	Ludilo
पिण्ड	Maso
चलचित्र	Filmo
धातु	Metalo (fiziko)
नाभिकीय विखण्डन	Fisio
ग्यास	Gaso
तरल	Likvo
ठोस	Solido
साईकल	Biciklo
पानी जहाज	Ŝipo
कृषि	Agrikulturo
कपास	Kotono
सेरेना विलियम्स	Serena Williams
ध्वनि	Sono
हलो	Plugilo
गति	Vektora rapido
तापक्रम	Temperaturo
समय	Tempo
कागज	Papero
क्षेत्रफल	Areo
पाइथागोरस साध्य	Teoremo de Pitagoro
अंक	Nombro
क्रिष्टियानो रोनाल्डो	Cristiano Ronaldo
मिटर	Metro
मकै	Maizo
जौ	Ordinara hordeo
केल्भिन	Kelvino
इकर क्यासिलास	Iker Casillas
नृत्य	Danco
निर्भाना	Nirvana
इलेक्ट्रोनिक्स	Elektroniko
विद्युत धारा	Elektra kurento
डायोड	Diodo
सूचना प्रविधि	Informa teknologio
मौसम	Vetero
मारिया सारापोभा	Marija Ŝarapova
शेयर	Akcio
लाहोर	Lahore
सार्वभौम सम्पन्न राष्ट्रहरूको सूची	Listo de sendependaj ŝtatoj
पाषाण युग	Ŝtonepoko
कांस्य युग	Bronzepoko
लौह युग	Ferepoko
भालु	Urso
जोन एडम्स	John Adams
थोमस जेफर्सन	Thomas Jefferson
जेम्स म्याडिसन	James Madison
जेम्स मुनरो	James Monroe
जोन क्विन्से एडम्स	John Quincy Adams
एन्ड्रयु ज्याक्सन	Andrew Jackson
मार्टिन भान बरेन	Martin Van Buren
राजकोट	Raĝkot
विलियम हेनरी ह्यारिसन	William H. Harrison
जोन टेलर	John Tyler
जेम्स के. पोल्क	James K. Polk
गन एन’ रोजेज	Guns N' Roses
ज्याचरी टेलर	Zachary Taylor
वदोदरा	Vadodara
माइकल बालाक	Michael Ballack
ब्रिट्नी स्पेयर्स	Britney Spears
पाचन प्रणाली	Digestado
प्रकाश संश्लेषण	Fotosintezo
प्रजनन (पुनरुत्पादन)	Reproduktado
गर्भावस्था	Gravedeco
सल्ला	Pino
क्यान्सर	Kancero
हैजा	Ĥolero
राजा	Reĝo
तरवारबाजी	Skermo
गहुँ	Tritiko
सन् २०४०	2040
सन् २०३९	2039
सन् २०३८	2038
सन् २०३७	2037
रुघा खोकी	Malvarmumo
सन् २०३५	2035
पात्रो	Kalendaro
बहिरोपना	Surdeco
मानसिक रोग	Psika malsano
रोग	Malsano
ग्रेगोरियन क्यालेण्डर	Gregoria kalendaro
स्वस्थ	Sano
औलो	Malario
कुपोषण	Malsufiĉa nutrado
मोटोपन	Trodikiĝo
मित्र तारा	Alfa Centaŭro
एन्टिबायोटिक	Antibiotiko
अगस्ति तारा	Alfo Karena
न्युमोनिया	Pneŭmonito
एड्स	Aidoso
क्षयरोग	Tuberkulozo
मधुमेह	Diabeto
ढाँचा:Location map Sweden	Ŝablono:Situo sur mapo Svedio
ढाँचा:Location map United Kingdom	Ŝablono:Situo sur mapo Britio
ढाँचा:Location map Belgium	Ŝablono:Situo sur mapo Belgio
ढाँचा:Location map Italy	Ŝablono:Situo sur mapo Italio
ढाँचा:Location map Poland	Ŝablono:Situo sur mapo Pollando
पुल	Ponto
नहर	Kanalo (akvovojo)
ढाँचा:Location map Croatia	Ŝablono:Situo sur mapo Kroatio
ढाँचा:Location map Bosnia	Ŝablono:Situo sur mapo Bosnio
ढाँचा:Location map Greece	Ŝablono:Situo sur mapo Grekio
मिलार्ड फिलमोर	Millard Fillmore
फ्र्यांकलिन पार्स	Franklin Pierce
बाँध	Akvobaraĵo
जेम्स बुकानान	James Buchanan
ढाँचा:Location map Israel	Ŝablono:Situo sur mapo Israelo
ढाँचा:Location map Jordan	Ŝablono:Situo sur mapo Jordanio
ढाँचा:Location map Iraq	Ŝablono:Situo sur mapo Irako
ढाँचा:Location map Saudi Arabia	Ŝablono:Situo sur mapo Sauda Arabio
ढाँचा:Location map Pakistan	Ŝablono:Situo sur mapo Pakistano
ढाँचा:Location map India	Ŝablono:Situo sur mapo Barato
ढाँचा:Location map नेपाल	Ŝablono:Situo sur mapo Nepalo
ढाँचा:Location map Japan	Ŝablono:Situo sur mapo Japanio
ढाँचा:Location map Philippines	Ŝablono:Situo sur mapo Filipinoj
ढाँचा:Location map Indonesia	Ŝablono:Situo sur mapo Indonezio
ढाँचा:Location map Australia	Ŝablono:Situo sur mapo Aŭstralio
ढाँचा:Location map New Zealand	Ŝablono:Situo sur mapo Nov-Zelando
ढाँचा:Location map Fiji	Ŝablono:Situo sur mapo Fiĝioj
ढाँचा:Location map Colombia	Ŝablono:Situo sur mapo Kolombio
मोना लिजा	La Gioconda
ढाँचा:Location map Peru	Ŝablono:Situo sur mapo Peruo
नाप	Mezuro
तथ्याङ्क	Statistiko
बुर्ज खलिफा	Burĝ Ĥalifa
चीनको विशाल पर्खाल	Granda Ĉina Muro
ह्यागिया सोफिया	Hagia Sofia
भर्याङ्ग	Ŝtuparo
ल्याटिन अमेरिका	Latin-Ameriko
कुल घरेलु उत्पादन	Malneta enlanda produkto
बेडेन पावेल	Robert Baden-Powell
जाँ जोर	Jean Jaurès
नविकरणीय उर्जा	Renoviĝanta energio
म्याक्सिम गोर्की	Maksim Gorkij
जीवावशेष ऊर्जा	Fosilia brulaĵo
वाष्प इन्जिन	Vapormaŝino
सन् २०३४	2034
सन् २०३३	2033
सन् २०३२	2032
सन् २०३१	2031
सन् २०३०	2030
परमाणु बम	Atombombo
सन् २०२९	2029
सन् २०२८	2028
सन् २०२७	2027
बारूद	Nigra pulvo
विस्फोटक	Eksplodaĵo
पाउलो कोहेल्हो	Paulo Coelho
पेले	Pelé
वास्तविक सङ्ख्या	Reelo
स्वाति तारा	Arkturo
प्रस्वा तारा	Prociono (stelo)
नाभिकीय संलयन	Fuzio
मिसेल ओबामा	Michelle Obama
वर्डप्रेस	WordPress
जूमला	Joomla!
लिची	Liĉio
किसमिस	Sekvinbero
नरिवल	Kokoso
दारिम	Granatujo
आरू	Persiko
ठेकीफल	Kivifrukto
रोमानी	Cigana lingvo
सिन्हाला भाषा	Sinhala lingvo
केक	Kuko
दही	Jogurto
डेबिट कार्ड	Debetkarto
ढाँचा:Location map Canada	Ŝablono:Situo sur mapo Kanado
ढाँचा:Location map Mexico	Ŝablono:Situo sur mapo Meksiko
ढाँचा:Location map Earth	Ŝablono:Situo sur mapo Tero
ब्रेसियर	Mamzono
एन्जेलिना जोली	Angelina Jolie
मेरो सानु साथी	$100 Laptop
अरबी भाषा	Araba lingvo
कण्डम	Kondomo
खजुर	Arekacoj
विकिनी	Bikino
इन्टरनेट शीर्षस्तर क्षेत्राधिकार	Domajno de plej alta nivelo
उल्लू नीहारिका	M97
सिसाकलम	Krajono
घर भँगेरा	Dompasero
मकाउ	Makao
बगलिस	Ŝukorno
हु जिन्ताओ	Hu Jintao
सि जिनपिङ	Xi Jinping
जिराफ	Ĝirafo (specio)
ओठ	Lipo
सोभियत संघ	Sovetunio
द लर्ड अफ द रिङ्ग्स	La Mastro de l' Ringoj
नगरपालिका	Municipo
क्यामरा	Fotilo
सि	C (programlingvo)
एचआइभी	HIV
पाइताला	Piedo
छेपारो	Lacertuloj
एमी वाइनहाउस	Amy Winehouse
मेटालिका	Metallica
क्यानी वेस्ट	Kanye West
शार्ल लुई मोन्टेस्क्ये	Charles Montesquieu
काँध	Ŝultro
ब्रुस ली	Bruce Lee
थाइरोइड	Tiroido
ढाँचा:Link FA	Ŝablono:LigoElstara
हाइपरथाइरोडिजम	Hipertiroidismo
विश्व	Mondo
विकिपीडिया:चौतारी	Vikipedio:Diskutejo
कमल	Hinda lotuso
भर्मांट	Vermonto
सान होसे,क्यालिफोर्निया	San Jose (Kalifornio)
ह्युस्टन	Houston (Teksaso)
जियाङ जेमिन	Jiang Zemin
ग्वाम	Gvamo
अमेरिकी सामोआ	Usona Samoo
अस्पताल	Malsanulejo
गिर्जाघर	Kirko
ग्वाडलप	Gvadelupo
ओकल्याण्ड	Oakland (Kalifornio)
कार्लोस पुयोल	Carles Puyol
वृत	Cirklo
चौधौं दलाई लामा	Tenzin Gyatso
वैश्विक डाक संघ	Universala Poŝta Unio
जावी हर्नान्डेज	Xavi
जेरार्ड पिके	Gerard Piqué
डिएगो म्याराडोना	Diego Armando Maradona
मोबाइल फोन	Poŝtelefono
अनुशेह अन्सारी	Anousheh Ansari
अस्ट्रिच	Struto
स्टिफन हकिङ	Stephen Hawking
अरागत्सोत्न प्रान्त	Aragacotno
कोरिया	Koreio
सन् १९२५	1925
सन् १९२७	1927
म्यानचेस्टर	Manchester
भिटामिन ए	Vitamino A
जु रोङजी	Ĵu Ronĝi
ई.पू. १०००	1000
ई.पू. ९९९	999
ब्वाँसो	Lupo
भकुण्डो	Pilko
सन् १९५५	1955
सन् १९५४	1954
सन् १९५३	1953
सन् १९५१	1951
सन् १९५०	1950
सन् १९४६	1946
सन् १९४३	1943
सन् १९४२	1942
सन् १९४०	1940
सन् १९३९	1939
सन् १९३८	1938
सन् १९३७	1937
सन् १९३६	1936
म्यानचेष्टर यूनाइटेड (फुटबल क्लब)	Manchester United
१९३५	1935
सन् १९३४	1934
सन् १९३३	1933
सन् १९३२	1932
टाडी निरबिरालो	Azia palm-civeto
सन् १९३१	1931
सन् १९३०	1930
बकुल्लो	Ardeedoj
सन् १९२९	1929
फ्रान्स मेरिङ	Franz Mehring
प्योङ्गयाङ्ग	Pjongjango
नयाँ करार	Nova testamento
जेस्सी जे	Jessie J
गंगाचीलठुँडे फ्यालफ्याले	Mevbeka ŝterno
फुस्रे सर्षपी	Arĝenta pluvio
सानो गट्टेबट्टाई	Turnico
वन सुड्सुडिया	Brovtringo
टिमटिमा	Griza tringo
